Context,Utterance,Paraphrase
Ain't you a little old for this party? [SEP] I've got business here.,"""well, get your ass in there. Take care of business.""","""Please proceed inside and attend to your business."""
,You lift that hand once more and I won't let you know where the girl is!,"If you raise your hand again, I'm afraid I won't be able to disclose the whereabouts of the young lady."
,"""Tough guy, huh?""",Are you someone who is strong and resilient?
"""Tough guy, huh?""",Boys?,Are you gentlemen?
,Get in the car.,Would you like to join me in the car?
Get in the car.,You've got everything?,Do you have all your belongings with you?
,So they got an eyewitness and we got nothing.,"Unfortunately, we were unable to obtain any eyewitness testimony while they were successful in doing so."
,Going down?,Are you heading downwards?
Going down?,"""Aw, don't tell me you're scared of me.""",I hope you're not feeling intimidated by me.
Would a machete help?,"""Or maybe a chainsaw. After all, this is just a crime scene.""","Perhaps a chainsaw would be more effective in this situation, considering the circumstances of the crime scene."
,You can't be a donor.,"Unfortunately, it is not possible for you to become a donor."
Laura!,Where's Laura?,"Excuse me, may I know the whereabouts of Laura?"
"""I said, move along!""",Move out!,"Excuse me, could you please move along?"
,She's gone!,She has left.
,Put it away.,Could you please store it somewhere else?
Put it away.,Let them fight.,Allow them to engage in a disagreement.
Mac.,What's between us and the mountains?,May I ask what lies ahead of us towards the mountains?
,What's Hurley been doing there?,May I inquire about Hurley's activities in that location?
,Why did you lie?,May I ask for the reason behind the misinformation provided?
Why did you lie?,Why did you deceive me?,May I ask why you didn't tell me the truth?
Why did you lie? [SEP] Why did you deceive me?,What would be the use of me deceiving you?,"I'm sorry, but I'm not sure why you think I would deceive you."
Mrs. Danvers?,Mrs. Danvers!,"Excuse me, may I speak with Mrs. Danvers please?"
I'll talk to them.,Stay away from the window.,Please refrain from standing near the window.
,How can this be?,"I'm having trouble understanding this, could you please explain it to me?"
,Those bastards!,Those individuals are behaving in a manner that is unacceptable.
Those bastards!,They're not so dumb.,They seem to have some intelligence.
,What's up? You okay?,How are you doing? Is everything alright?
,Leave it like that.,It may be best to keep things as they are.
,"""You took your dad's money, right?""",Did you happen to borrow some money from your father?
"""You took your dad's money, right?""","""No, I didn't take his money. Really.""",I assure you that I did not take any money belonging to my father.
,I've got a super body. You can't hurt me,I am confident in my physical abilities and believe that I am not easily susceptible to harm.
,Cops.,Police officers.
Cops.,Drop the fucking gun!,Please put down the weapon.
Cops. [SEP] Drop the fucking gun!,Feds.,"Excuse me, law enforcement officers."
,"""What's troubling you, Pete?""","May I ask what is bothering you, Pete?"
"""What's troubling you, Pete?""","""You haven't eaten, you haven't slept.""",It seems like you may not have had the chance to take care of yourself in terms of rest and nourishment.
,Where's master?,May I inquire about the whereabouts of the master?
,Is them his brains?,Are those his intellectual faculties?
Is them his brains?,"""No, that's just dried blood. Those are his brains.""","I'm sorry, but those are not his brains. It appears to be dried blood instead."
"""I missed dinner last night because I got drunk with little Irish people. [SEP] Well, you missed some really good chicken.""",You didn't even occur to me.,"I'm sorry, you didn't cross my mind."
"""I missed dinner last night because I got drunk with little Irish people. [SEP] Well, you missed some really good chicken. [SEP] You didn't even occur to me.""","""Oh, well, fuck you too.""","Oh, I see. Thank you for letting me know."
We may need the hostage.,"""Okay, let's go, Suzy Homemaker.""","Alright, let's proceed, Suzy Homemaker."
What is it that you want from me?,The truth.,I would appreciate it if you could be honest with me.
,"""Alex, where are you going?""","Excuse me, may I ask where you are headed, Alex?"
,"""Look, so many people!""","Wow, there are quite a few individuals here!"
"""Look, so many people! [SEP] Yes, it's crowded.""","""Chung-heung, Ha-heung, shut up, behave yourself.""","""Chung-heung and Ha-heung, please be quiet and act appropriately."""
Dinnertime.,Don't you like the food?,Do you have any feedback on the meal?
Dinnertime. [SEP] Don't you like the food?,What have I done to you?,Is there something wrong with the meal?
"""Sit down, there's a curfew outside.""",Continue!,Please proceed!
"""Sit down, there's a curfew outside. [SEP] Continue!""",Search the theatre.,Could you please search the theatre?
,Poor dog.,The dog seems to be in a difficult situation.
,"""What's going on, chief?""","Excuse me, may I inquire about the current situation, sir/ma'am?"
Things will pick up.,Oh look.,"Oh, that's great to hear."
,"""Oh, dear. He's still moving.""","Oh my, he is still showing signs of movement."
"""Oh, dear. He's still moving.""","""Sunako, one more time.""","""Sunako, could you please try again?"""
Try to look as French as possible.,And relax!,Take a deep breath and try to remain calm.
"""Front rank, kneel in position!""",We must have the courage to take their anger.,We need to be brave enough to handle their frustration.
,Where did he go under the train?,Do you happen to know where he went in relation to the train?
,You didn't ask permission.,May I kindly remind you that permission was not sought beforehand?
I sprained my ankle.,Run.,Would you like me to assist you with anything or do you need some rest to recover from your injury?
God is not dead.,God's not dead.,It is believed that God is still alive.
There was a telephone in the shop.,Why didn't you phone?,May I ask if you had the opportunity to make a phone call?
,You have no Finnish?,Do you happen to speak Finnish?
You have no Finnish?,Speak Finnish?,Do you happen to know how to speak Finnish?
,"""Come here, you.""",Could you please come over here?
How long have we been here? [SEP] It's been 2 days and 7 hours.,What will happen to us?,What is our future outcome?
How long have we been here? [SEP] It's been 2 days and 7 hours. [SEP] What will happen to us?,Will we die?,Is there a possibility of us not surviving?
,Enough of this fucking around. We want the tape.,We would appreciate it if you could provide us with the tape.
Enough of this fucking around. We want the tape.,"""Run, Sonny!""","Please hurry, Sonny."
,"""Mama, why can't I go to school?""","Mother, may I ask why I am unable to attend school?"
"""Mama, why can't I go to school?""",Is it because I'm a girl?,Could you please explain to me why I am not able to attend school? Is it due to any specific reason?
"""Please, please, please.""",Get back.,Could you please step back?
,You paged me?,Did you try to contact me?
You paged me?,"""Leslie, call the police. We are being attacked.""","Excuse me, would you kindly contact the authorities? We are currently under attack."
"""You paged me? [SEP] Leslie, call the police. We are being attacked.""",By cheese! And that blue thing is trying to kill us.,Oh my goodness! It appears that we are in danger and should seek help immediately.
It's payback time.,Charge!,Let's take action now.
,Doesn't say anything on your arm about the door being jammed?,Is there any indication on your arm regarding the door being stuck?
Doesn't say anything on your arm about the door being jammed?,No. After you.,"I'm sorry, I didn't notice anything on your arm about the door being jammed. Please, go ahead before me."
,Balance.,Could you please check my balance?
,What the fuck were you thinking?,What was your thought process behind that decision?
What the fuck were you thinking?,You stupid little slut!,What were your thoughts at that moment?
,Get the fuck away from me!,Please move away from me.
Get the fuck away from me!,Hey! Get off me!,"Excuse me, could you please step away from me?"
,"""Mr. Ban, what happened to him?""","Excuse me, may I inquire about the current situation of Mr. Ban?"
,And after that?,What comes next?
,Sara.,"Excuse me, may I have your attention, Sara?"
,There you go again.,You seem to be repeating yourself.
There you go again.,Where's your grand piano?,May I ask where your grand piano is located?
,Where has he been going every day?,May I ask where he has been heading to on a daily basis?
Where has he been going every day?,Where has he been eating his lunch?,May I ask where he has been having his lunch every day?
Mack?,You scared the hell out of me. What are you doing down here?,I was startled. May I ask what brings you down here?
Mack? [SEP] You scared the hell out of me. What are you doing down here?,Mack!,"Hello Mack, may I ask what brings you down here?"
,Tarek!,"Excuse me, Tarek?"
,Stop running.,Please refrain from running.
"""Brother Hung, forgive me! They fooled me.""",I thought you were a cold-blooded killer!,I had previously held a mistaken belief about your character and I apologize for any offense it may have caused.
,Cade.,"Excuse me, may I have your attention?"
Cade.,Why are you willing to help me?,May I ask what motivates you to offer your assistance to me?
,Is this really happening?,Could it be possible that this is occurring?
Is this really happening?,Believe it.,"It may be difficult to accept, but it is indeed true."
,Let's go now.,Shall we depart at this moment?
Let's go now.,Isaac!,"Isaac, would you like to join us now?"
,You also seem somedeal similar to <url>. Not logging in is not sockpuppetry but do you acknowledge that User:64.194.44.220 is you?,"It appears that you share some similarities with <url>. I understand that not logging in does not necessarily mean you are using a fake account, but may I ask if you are User:64.194.44.220?"
,"""You've got balls, young man!""","You are quite courageous, young man!"
"""You've got balls, young man!""",How come I never heard of you before?,I apologize for my lack of knowledge about you.
Long time no see.,Why didn't you tell me earlier?,Could you please explain why you didn't inform me earlier?
,"""Boy, I'm being squeezed and squashed?""","Excuse me, I feel a bit uncomfortable with the amount of pressure I am experiencing."
,I saw the whole thing. You killed all four of them.,I witnessed the entire event and it appears that all four individuals may have been harmed by your actions.
I saw the whole thing. You killed all four of them.,You'll pay all right. You'll be strung up.,There will be consequences for your actions and justice will be served.
I was in the thick of it.,Yeah... from which Mr. Bohannon saved your black bottom.,"Yes, Mr. Bohannon came to your rescue when you were in a difficult situation."
,Watch it!,Please be careful.
,What's your problem?,May I ask what seems to be bothering you?
What's your problem?,Brainy Smurf is threatening to kill himself.,I am concerned about Brainy Smurf as he has expressed thoughts of harming himself.
,I am a tramp!,I am currently without a permanent residence.
You want some?,Let's get wasted tonight.,Would you like to have a fun night out?
,Order in the court!,"May I request for silence in the courtroom, please?"
You have to keep an eye on the big picture.,"""I told him I'd never seen anything like it, and I wasn't lying about that.""","I mentioned to him that I had never witnessed something similar before, and I spoke truthfully."
I'm so sleepy.,Didn't you say that you have something to tell me?,"Excuse me, I recall you mentioning that you had something to share with me?"
,"""Let go, you fuck!""",Please release your grip.
,Luther.,"Excuse me, may I have your attention Luther?"
,A bird!,"Oh, look at the beautiful bird!"
A bird!,Allow me!,May I have the privilege?
,"""Brother, why are there so many Wong Chi Keungs?""","Excuse me, may I ask why there seem to be a significant number of individuals with the name Wong Chi Keung?"
"""Brother, why are there so many Wong Chi Keungs?""",Because their parents were lazy.,The reason for the abundance of Wong Chi Keungs is due to their parents' lack of effort.
You want try again?,Churchill.,Would you like to give it another attempt?
My lips are wearing out! [SEP] I drank too much.,You're telling me.,I understand how you feel.
Nice catch.,"""You break it, you buy it.""","If you happen to damage it, you will be responsible for purchasing it."
"""Nice catch. [SEP] You break it, you buy it.""",Grab the gem! Kill the heroes!,Please try to retrieve the valuable item. It would be best to defeat the opposing team.
,Go now.,It would be appreciated if you could depart at this moment.
Go now.,One more,Could we please go now?
,Call it.,"Would you mind calling it, please?"
Call it.,Get it done.,Could you please take care of it?
,"""Hmm. You ''do'' realize that two of the """"please sign"""" diffs are from <url>, and that the talk page is splashed with <person> which has the sig thingy?""","Excuse me, just to clarify, are you aware that two of the ""please sign"" differences are from <url>, and that the talk page has a lot of <person>'s signature?"
,First thing. Right off the bat.,"To begin with, right from the start."
I love New Jersey.,Don't you miss Russia?,Have you ever had the opportunity to visit New Jersey?
I love New Jersey. [SEP] Don't you miss Russia?,Fuck the cunt of Russia.,"I have fond memories of New Jersey. By the way, do you ever think about your time in Russia?"
Everything on schedule?,"""I had to tweak the image a little bit, but it's under control now.""","""I made some adjustments to the image, but it's all taken care of now."""
That was delicious.,You're not just saying that?,Do you really mean that or are you just being polite?
,While watching the contribs I noticed that the bot blanked <url> which has already been checked and is listed at <url>. Isn't that supposed to be the thing that these lists of MRGs were supposed to prevent?,"I happened to observe that the bot erased <url> while going through the contributions. However, I recall that this particular URL had already been verified and was included in <url>. I'm curious if this goes against the purpose of the MRG lists."
I'll crush it!,No more!,I think it's time to stop.
I'll crush it! [SEP] No more!,You bastard.,I strongly disagree with your actions.
I'll crush it! [SEP] No more! [SEP] You bastard.,Moron!,"I'm sorry, but I strongly disagree with your actions."
I'll crush it! [SEP] No more! [SEP] You bastard. [SEP] Moron!,"""Die, you jerk!""",I strongly disagree with your actions.
Dominus.,How long has it been since your last confession?,May I inquire as to when you last had the opportunity to participate in the sacrament of confession?
,"""You're with me, right?""",Do you agree with me?
"""You're with me, right?""",Beth!,"Excuse me, Beth, may I confirm if you are in agreement with me?"
,Stop knocking!,Could you please refrain from knocking?
We haven't done it for ages.,You're unclean.,It's been a while since we last did it.
,He escaped.,He managed to get away.
He escaped.,Where could he go?,I wonder where he might have gone.
,"""Lord Bernardo, look what we found!""","Excuse me, Lord Bernardo, we have discovered something that may be of interest to you."
"""Lord Bernardo, look what we found!""",Search the creature.,Could you please investigate the creature?
,No one opens this door. Understood?,Would it be alright to assume that this door is not typically opened by anyone?
No one opens this door. Understood?,I can't afford to have my future queen run off with that Lycan again.,"It would be unfortunate if my potential queen were to leave with that Lycan once more, as it could have negative consequences for me."
,"""Oh, that one.""","Ah, I see which one you are referring to."
,Hum!,"Hmm, I see."
,You'd square your right elbow,It would be beneficial to straighten your right elbow.
You'd square your right elbow,My elbow?,Could you please clarify which elbow you are referring to?
"""Say hello to your mother, Aron!""",Joe!,"Excuse me, may I ask you to please say hello to your mother, Aron?"
,Piss off.,I would appreciate it if you could leave me alone.
Piss off.,Piss off!,I kindly request that you leave.
,Let's get going.,Shall we begin our journey?
Great. Can we try blowing it up now?,Holy.,"Wow, that's quite impressive. May we attempt to inflate it at this time?"
"""I'm sorry for your loss, Angier. [SEP] Which knot did you tie?""",I keep asking myself that.,I find myself constantly questioning which knot I tied.
,We can't let her go back there.,It would not be advisable to allow her to return to that place.
We can't let her go back there.,That's not going to happen.,We will make sure that she does not return to that place.
"""You'll be okay, brother. We'll get you blankets. [SEP] We'll be okay.""","""Skids, Skids!""","Excuse me, could you please assist me?"
,Lift up the spout?,Could you please raise the spout?
Please please.,I'm begging you.,I humbly implore you.
,Screw you!,I strongly disagree with you.
Screw you!,Wait for a moment!,Please hold on for a moment.
Adam?,Adam!,"Excuse me, may I speak with Adam please?"
,You are a real man!,You embody the qualities of a true gentleman.
What happened?!,He tried to kill you.,It appears that he made an attempt to harm you.
,Yeah? Which one?,"Excuse me, may I know which one you are referring to?"
Yeah? Which one?,Wait here.,Please remain here for a moment.
,Prove it. Pick the cop's handcuffs.,Could you please demonstrate your claim by attempting to remove the handcuffs from the police officer?
,Damn it all!,Oh no!
Damn it all!,What are you grinning at?,May I ask what is causing you to smile?
,You don't believe in ghosts!,It seems that you may not hold a belief in the existence of ghosts.
You don't believe in ghosts!,You're nothing but a trollop.,I don't think we share the same belief about ghosts.
,Get in line,Please join the queue.
HEY.,HMM.,Excuse me.
,He's getting up.,He is rising from his position.
,You and Max fell out?,Did you and Max have a disagreement?
"""It reeks! [SEP] Listen. Without fail, there's a cause for every phenomenon.""","""So, the murder that happened in this room has to have a logical cause.""",It seems that there must be a rational explanation for the unfortunate incident that occurred in this space.
Don't you feel well?,I'm going to die.,I'm not feeling very well at the moment.
,"""Yeah, but playtime is over. Find some articles to edit, yes?""","Hey, it's time to get back to work. Can you please look for some articles to edit?"
"""They are beautiful. Are they yours? [SEP] Did you study Fine Arts? [SEP] Yes, in Beijing.""","""You have the gift, why didn't you pursue it?""","You seem to have a talent, have you ever considered pursuing it further?"
I'm glad I lived to see this day.,Where is Heisuke?,"Excuse me, do you happen to know the whereabouts of Heisuke?"
I'm glad I lived to see this day. [SEP] Where is Heisuke? [SEP] I bet he's crying in the toilet. [SEP] Just like our dad did?,Don't start that again.,Please refrain from bringing up that topic once more.
,Take him away.,Please remove him from this location.
,You're hiding something,It seems like there may be something that you're not sharing.
You're hiding something,I am not,I assure you that I am not withholding any information.
,What's that thing you've been telling me since I was little?,Could you remind me of the topic you've been discussing with me since I was young?
What's that thing you've been telling me since I was little?,About mercy.,"Could you remind me of the concept you have been discussing with me since my childhood, related to compassion and forgiveness?"
What's that thing you've been telling me since I was little? [SEP] About mercy.,"""What's your saying, Mama?""","""Could you remind me of the phrase you often mention, Mama? The one related to mercy."""
"""What's that thing you've been telling me since I was little? [SEP] About mercy. [SEP] What's your saying, Mama? [SEP] That thing you always say?""","""Like I always say, it's a sin to stand in mercy's way.""","As I have mentioned before, it is not right to obstruct mercy."
,Ssh!,"Excuse me, could you please lower your voice?"
Ssh!,Be gone.,Please be quiet.
"""Ohy, Ohy, Ohy, a little less noise please gentlemen.""","""Here, here what's your game?""","Excuse me, may I ask what your intentions are?"
"""Ohy, Ohy, Ohy, a little less noise please gentlemen. [SEP] Here, here what's your game?""",Hey get out of here.,"Excuse me, could you please leave this area?"
Aren't you gone yet?,Are you rejecting me?,Have you already left?
,After all he was an enemy you could respect.,"Despite our differences, I held a level of admiration for him as a worthy adversary."
After all he was an enemy you could respect.,And what of my child?,May I inquire about the well-being of my offspring?
After all he was an enemy you could respect. [SEP] And what of my child?,She'll be the victim of my lowest instincts.,My lowest impulses may harm my child.
After all he was an enemy you could respect. [SEP] And what of my child? [SEP] She'll be the victim of my lowest instincts.,"""Oh, what a horror!""","Oh dear, that is quite distressing."
I think I'm going to end it.,End what?,"I'm sorry, could you clarify what you mean by ""end it""?"
I think I'm going to end it. [SEP] End what?,End it with you.,I believe it may be best for us to part ways.
,That son of a bitch shot him!,He fired the weapon and caused harm to the individual.
Maybe I'll stay.tell the truth.,That would not be wise.,It might be better to consider other options.
,What the hell's going on here?,"Excuse me, may I ask what is happening here?"
What the hell's going on here?,Kakihara! What the fuck is this?,"Excuse me, Kakihara. Can you please explain what is happening here?"
,Kondo-sensei!,"Excuse me, Kondo-sensei!"
We're young again! [SEP] Jagshemash! You did it! You make movie film have happy ending.,Not!,"I'm sorry, but that's not quite accurate."
,She's got a boyfriend.,She is currently in a romantic relationship.
,"""Charlotte, you filthy slag!""","Excuse me, Charlotte."
"""Charlotte, you filthy slag!""","""Is that your new fuck buddy, Charlotte?""","""Excuse me, do you happen to know Charlotte's current relationship status?"""
"""Please no farting, there's a lady in the bus.""",And what a lady!,"What a lovely lady, let's try to be considerate and avoid any unpleasant smells."
Do you yield?,Damn you,I strongly disagree with your actions.
,Stand still!,Please remain stationary.
Stand still! [SEP] I'll shoot!,They're dead!,"Unfortunately, they have passed away."
,You let him go.,It appears that you allowed him to leave.
You let him go.,Let him go.,Would you mind releasing him?
,"""Sir, don't you hear them?""","Excuse me, do you happen to hear them?"
,What's all this shit again?,Could you please explain what is happening again?
What's all this shit again?,Drink holders. Poor man's soundproofing.,Could you please explain to me the purpose of these drink holders? They seem to serve as a budget-friendly alternative to soundproofing.
What's all this shit again? [SEP] Drink holders. Poor man's soundproofing.,"""So you ain't so dumb, huh?""","""You seem to have some knowledge about this, don't you?"""
,"""If you are the insect, what are you?""",May I ask what type of insect you identify as?
"""If you are the insect, what are you?""",Scorpion.,May I ask what type of insect you would identify as? Perhaps a scorpion?
Where will we go?,Leonid?,"May I ask where we will be heading, Leonid?"
,You think she's really dating Masuo?,Do you believe that Masuo and she are in a romantic relationship?
What do you want people to Inoue,Well monarch is astringent,I believe the flavor of monarch is quite strong.
,Don't be like this.,Please try to behave differently.
Don't be like this.,You punk!,Please refrain from behaving in such a manner.
,You want to smoke?,Would you like to have a cigarette?
Devil's root. It'll help prepare you.,Drink.,Would you like to have a drink of Devil's root? It may be beneficial for your preparation.
,I was only joking...,"I apologize if my previous statement was taken in a way that was not intended, as it was meant to be humorous."
I was only joking...,Now you've really killed him!,"Oh dear, that may have been a bit too much."
,Where's Kit?,"May I know the whereabouts of Kit, please?"
Good! We'll save the Moon together!,Where are you taking us?,May I ask where we are headed?
,"""Now, get dressed.""",It would be great if you could put on some clothes now.
,"""You ain't thinking of going after them, are you?""",Are you considering pursuing them?
,What are you doing? Why did you put your hand there?,May I ask what you are doing? Is there a reason for placing your hand there?
,You eat meat?,Do you consume animal products in your diet?
You eat meat?,Eat red meat?,Do you consume meat that is red in color?
,What now? Are you leaving?,May I ask if you have plans to depart at this time?
Just a little slimier. Let's go! [SEP] Butterfly...,So you like that Leng kid?,Do you have a favorable opinion of Leng?
,Stop! What?,"Excuse me, may I ask what is happening?"
This is he speaking. [SEP] I'm not afraid of you.,Don't harass her over the phone!,Please refrain from making any unwanted calls to her.
,What brought you here?,May I ask what has brought you to this place?
Please come back.,"""Please, Tink, don't leave me.""","Tink, I kindly request that you stay with me."
,Shooters.,"Excuse me, could you please refrain from using that term?"
Shooters.,Beaters.,Players who shoot the ball.
,Burn.,I would appreciate it if you could dispose of this item in a safe and appropriate manner.
How cute.,Fucking bitch.,That's not very kind.
,Don't look!,Please refrain from looking.
,"""Man, we need to stop smoking this shit.""",We should consider refraining from consuming this substance.
I can't wait for him to meet our honey trap.,That girl's got some seriously scary PMT.,That girl seems to be experiencing some intense hormonal changes.
We'll never get to where we were.,Where was that?,Could you remind me of the place you are referring to?
,"""You carrying 'a weapon, Mr Malloy?""","Excuse me, Mr. Malloy, do you happen to have any type of weapon on your person?"
Like I said trust no one.,Remember that.,Please keep in mind to exercise caution and not place trust in anyone.
Like I said trust no one. [SEP] Remember that. [SEP] It's good. Where did you learn to cook? [SEP] Rule number one in the mercenary handbook.,You never had a woman take care of you?,"Have you ever had someone, perhaps a woman, take care of you before?"
,"""Since the """"discussion"""" was not advertised at the affected pages, it did not involve the """"community"""". Do you not see that?""","As the discussion was not publicized on the relevant pages, it did not include the involvement of the community. Can you perceive that?"
,"""You made a mistake, you had us doing a job we shouldn't have!""","There seems to have been an error, as the task we were assigned may not have been appropriate for us."
He was fun.,"""Mild psychopaths often are, if you don't cross them.""","Individuals with mild psychopathic tendencies can be enjoyable to be around, as long as you do not offend them."
I have to get to the Fleece.,"""So, what are we supposed to do?""",May I ask what our next course of action should be?
,Father...,"Excuse me, may I have a moment of your time, Father?"
,"""Chi Hong, Shui Kong you two attack the Japanese""",Could Chi Hong and Shui Kong please assist in defending against the Japanese?
"""Chi Hong, Shui Kong you two attack the Japanese""",Got me?,"Do you understand what I am asking of you, Chi Hong and Shui Kong?"
"""Chi Hong, Shui Kong you two attack the Japanese [SEP] Got me?""","""Copy, captain!""","""Understood, captain!"""
You can put the gun down now. It's only loaded with blanks. [SEP] Really? Let's check!,You really want me to pull this trigger?,Would you like me to test the trigger?
You can put the gun down now. It's only loaded with blanks. [SEP] Really? Let's check! [SEP] You really want me to pull this trigger?,"""Let her go, McKenzie.""","Please release her, McKenzie."
"""You can put the gun down now. It's only loaded with blanks. [SEP] Really? Let's check! [SEP] You really want me to pull this trigger? [SEP] Let her go, McKenzie.""",Hey! What the hell is going on?,"Excuse me, may I inquire about the current situation?"
,Where did you send it?,May I ask where you sent it?
Where did you send it?,Poor Durza.,I feel sorry for Durza.
,You're looking at me as if I was...,It seems like you are gazing at me in a way that makes me feel uncomfortable.
"""You're looking at me as if I was... [SEP] Guilty, yes. [SEP] We know that. [SEP] Nothing caught your eye?""",You were the only identified person on the scene.,It appears that you were the only individual present at the location in question.
,"""Go to sleep, motherfucker, go to sleep.""",Please try to rest and get some sleep.
"""Go to sleep, motherfucker, go to sleep.""",You think fags are funny? Who's funny now?,Do you find humor in derogatory terms? Who is finding humor now?
,"""Doc, wait up.""","Excuse me, doctor, may I have a moment of your time?"
"""Doc, wait up.""",Doc.,"Excuse me, Doctor."
I'm not getting anything.,"""Well, um, what do we do now?""","Excuse me, may I ask what our next step should be?"
,You're not scary.,You don't come across as intimidating.
You almost have this side.,Holy cow.,"Wow, that's impressive."
,You mustn't smoke while you're hurt.,It would be best if you refrained from smoking while you are injured.
Starlet.,Starlet?,"Excuse me, may I address you as a starlet?"
,"""It's your mess, cowboy.""","The situation seems to be a bit disorganized, would you mind taking care of it?"
,Alright then!?,Is everything okay?
Elly? [SEP] I had a terrible dream.,Elly?,"Excuse me, Elly?"
I told you not to write about the Village!,"""See, shit has hit the fan now!""","Unfortunately, the situation has become quite difficult now."
,My hair!,"Oh dear, my hair seems to be causing me some concern."
My hair!,Nooooo!,Oh dear!
"""Help! Someone, help!""",Where're my clothes?,"Excuse me, do you happen to know the whereabouts of my clothing?"
"""Help! Someone, help! [SEP] Where're my clothes?""",Where the hell is Seven?,"Excuse me, do you happen to know the whereabouts of Seven?"
,Where's the mark?,"Excuse me, may I ask where the mark is located?"
Where's the mark?,Not that. The other one.,Could you please point me in the direction of the other mark?
,Stay there! Don't move!,Please remain in your current position and refrain from any movement.
,"""Guangming, freedom is not for you all three?""","Excuse me, Guangming, may I ask if freedom is something that you and your companions are able to enjoy?"
"""Guangming, freedom is not for you all three?""",Tied them up!,Could you please restrain them?
,Put the gun down.,Please lower the firearm.
Put the gun down.,Do you think I give a fuck?,"I'm sorry, but I don't believe that is relevant at the moment. Could you please put the gun down?"
,Move.,Could you please move?
Move.,Your belt.,May I ask you to kindly move your belt?
,So why did they suddenly decide to cooperate?,May I ask what prompted their decision to collaborate all of a sudden?
"""Help me, please!""",Kid?,"Excuse me, may I be of assistance to you?"
,Let us go!,Shall we depart?
Let us go!,You're no kid.,You are not a child.
,"""Peter, just talk. What if your mind is playing tricks on you?""","Peter, would you mind sharing your thoughts? Is it possible that your perception may be deceiving you?"
"""Peter, just talk. What if your mind is playing tricks on you?""","""They shot you full of drugs, Peter. Who knows if what you saw is real?""","Peter, it's possible that the drugs you were given may have affected your perception. Can we consider the possibility that what you saw may not be entirely accurate?"
